name,subs_million,categories,ha-link
Unbox Therapy,18.3,Science & Technology,https://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw
Good Mythical Morning,18.3,Food & Drinks,https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ
Dhar Mann,18,Health & Self Help,https://www.youtube.com/channel/UC_hK9fOxyy_TM8FJGXIyG8Q
Topper Guild,17.4,Animation,https://www.youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw
IGN,17.4,null,https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw
The Game Theorists,17.4,Science & Technology,https://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w
HowToBasic,17.2,Food & Drinks,https://www.youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg
Zach King,17,Movies,https://www.youtube.com/channel/UCq8DICunczvLuJJq414110A
Guava Juice,17,null,https://www.youtube.com/channel/UCMNmwqCtCSpftrbvR3KkHDA
MSA previously My Story Animated,16.9,Animation,https://www.youtube.com/channel/UCYzEMRKqrh01-tauv7MYyVQ
Marques Brownlee,16.8,Science & Technology,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ
VICE,16.8,News & Politics,https://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw
Aphmau,16.6,Animation,https://www.youtube.com/channel/UCzYfz8uibvnB7Yc1LjePi4g
How Ridiculous,16.6,Video games,https://www.youtube.com/channel/UC5f5IV0Bf79YLp_p9nfInRA
IShowSpeed,16.5,Video games,https://www.youtube.com/channel/UCWsDFcIhY2DBi3GB5uykGXA
Jake Fellman,16.3,null,https://www.youtube.com/channel/UCEnqwW6f7bYidXHAI13hhMA
JJ Olatunji,16.2,null,https://www.youtube.com/channel/UCGmnsW623G1r-Chmo5RB4Yw
Unspeakable,15.5,Video games,https://www.youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg
Roman Atwood Vlogs,15.5,Movies,https://www.youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw
Talking Tom & Friends,15.4,Animation,https://www.youtube.com/channel/UCDCNmuaOXOo25Yn4mbMHhhQ
TheRichest,15.1,News & Politics,https://www.youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w
Kwebbelkop,15,Animation,https://www.youtube.com/channel/UCfLuMSIDmeWRYpuCQL0OJ6A
Lachlan,14.8,Video games,https://www.youtube.com/channel/UCh7EqOZt7EvO2osuKbIlpGg
The Slow Mo Guys,14.8,null,https://www.youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w
PowerfulJRE,14.7,Daily vlogs,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ
CrashCourse,14.6,Science & Technology,https://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q
Chad Wild Clay,14.6,Movies,https://www.youtube.com/channel/UCwaNuezahYT3BOjfXsne2mg
Reaction Time,14.6,Animation,https://www.youtube.com/channel/UChM5Ff2yVeIZ16EWiB081cg
CollegeHumor,14.6,Movies,https://www.youtube.com/channel/UCPDXXXJj9nax0fr0Wfc048g
Lilly Singh,14.6,Animation,https://www.youtube.com/channel/UCfm4y4rHF5HGrSr-qbvOwOg
Rosanna Pansino,14.4,DIY & Life Hacks,https://www.youtube.com/channel/UCjwmbv6NE4mOh8Z8VhPUx1Q
PrestonPlayz,14.4,Animation,https://www.youtube.com/channel/UCJZam2u1G0syq3kyqrCXrNw
Ray William Johnson,14.3,Animation,https://www.youtube.com/channel/UCGt7X90Au6BV8rf49BiM6Dg
NikkieTutorials,14.2,Design/art,https://www.youtube.com/channel/UCzTKskwIc_-a0cGvCXA848Q
Rebecca Zamolo,14,Video games,https://www.youtube.com/channel/UCfw8x3VR-ElcaWW2Tg_jgSA
Wengie,13.6,DIY & Life Hacks,https://www.youtube.com/channel/UCD9PZYV5heAevh9vrsYmt1g
FAPTV,13.6,Animation,https://www.youtube.com/channel/UC0jDoh3tVXCaqJ6oTve8ebA
Veritasium,13.6,Science & Technology,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
The Dodo,13.5,Animals & Pets,https://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ
Hacksmith Industries,13.5,Video games,https://www.youtube.com/channel/UCjgpFI5dU-D1-kh9H1muoxQ
XO TEAM,13.5,null,https://www.youtube.com/channel/UClZAOlfhJQJRym39WoAPxdw
ATHLEAN-X™,13.4,Fitness,https://www.youtube.com/channel/UCe0TLA0EsQbE-MjuHXevj2A
AzzyLand,13.4,Animation,https://www.youtube.com/channel/UCzeB_0FNcPIyUSjL_TL5lEw
H2ODelirious,13.4,Animation,https://www.youtube.com/channel/UCClNRixXlagwAd--5MwJKCw
Typical Gamer,13.4,Video games,https://www.youtube.com/channel/UC2wKfjlioOCLP4xQMOWNcgg
DALLMYD,13.3,Mystery,https://www.youtube.com/channel/UCI4fHQkguBNW3SwTqmehzjw
TommyInnit,13.3,Animation,https://www.youtube.com/channel/UC5p_l5ZeB_wGjO_yDXwiqvw
MoreAliA,13.2,Animation,https://www.youtube.com/channel/UCyeVfsThIHM_mEZq7YXIQSQ
The Infographics Show,13.1,Education,https://www.youtube.com/channel/UCfdNM3NAhaBOXCafH7krzrA
JesseAndMike,13,null,https://www.youtube.com/channel/UCV1JuyDF9Re3HyXFGeqnC7Q
Airrack,12.9,Video games,https://www.youtube.com/channel/UCyps-v4WNjWDnYRKmZ4BUGw
Alexa Rivera,12.9,Animation,https://www.youtube.com/channel/UCPpATKqmMV-CNRNWYaDUwiA
penguinz0,12.9,Animation,https://www.youtube.com/channel/UCq6VFHwMzcMXbuKyG7SQYIg
Beast Philanthropy,12.9,Food & Drinks,https://www.youtube.com/channel/UCAiLfjNXkNv24uhpzUgPa6A
Jesser,12.9,Video games,https://www.youtube.com/channel/UCQIUhhcmXsu6cN6n3y9-Pww
